Lot_Area,Bldg_Type,House_Style,Overall_Cond,Year_Built,Roof_Style,Exter_Cond,Bsmt_Cond,Central_Air,Electrical,Bathroom,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bedroom_AbvGr,Kitchen_AbvGr,Fireplaces,Garage_Cars,Garage_Area,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Fence,Year_Sold,Sale_Condition,Sale_Price
8525,OneFam,Two_Story,Above_Average,1911,Gable,Typical,Typical,N,FuseA,1.5,1024,940,1964,4,1,0,0,0,0,192,0,No_Fence,2008,Abnorml,130000
4058,TwnhsE,SFoyer,Average,1998,Gable,Typical,Typical,Y,SBrkr,2,767,0,767,1,1,0,1,367,120,40,0,No_Fence,2007,Normal,133000
4113,TwnhsE,One_Story,Average,2001,Gable,Typical,Typical,Y,SBrkr,2,1337,0,1337,2,1,1,2,511,136,68,0,No_Fence,2007,Normal,155000
10943,TwnhsE,One_Story,Average,1997,Gable,Typical,Typical,Y,SBrkr,3,1337,0,1337,2,1,1,2,522,0,68,0,No_Fence,2007,Normal,177000
8400,Duplex,One_Story,Average,1977,Gable,Typical,No_Basement,Y,SBrkr,2,2020,0,2020,4,2,2,2,630,0,0,0,No_Fence,2007,Normal,144000
4270,OneFam,One_Story,Above_Average,1931,Gable,Typical,Typical,Y,SBrkr,1,774,0,774,3,1,0,0,0,0,0,286,No_Fence,2007,Normal,79000
10896,TwoFmCon,Two_and_Half_Fin,Good,1914,Hip,Typical,Fair,Y,FuseA,2,1440,1440,3395,8,2,0,0,0,0,110,0,No_Fence,2007,Abnorml,200000
7136,Duplex,Two_Story,Above_Average,1946,Gable,Typical,Typical,N,FuseF,2,979,979,1958,4,2,0,2,492,0,0,0,No_Fence,2007,Normal,145000
6270,Duplex,Two_Story,Above_Average,1949,Gable,Typical,Typical,N,FuseA,2,1001,1001,2002,4,2,0,3,871,0,0,0,No_Fence,2007,Normal,145000
8773,TwnhsE,One_Story,Average,2002,Gable,Typical,Typical,Y,SBrkr,3,1419,0,1419,2,1,0,2,543,196,68,0,No_Fence,2006,Normal,190000
8900,OneFam,One_Story,Below_Average,1966,Gable,Typical,Typical,Y,SBrkr,2,1056,0,1056,2,1,0,1,384,0,42,0,Minimum_Privacy,2006,Normal,107000
7800,OneFam,One_Story,Average,1965,Gable,Typical,Typical,Y,SBrkr,2,965,0,965,3,1,0,1,300,421,0,0,Minimum_Privacy,2006,Abnorml,119900
3612,Twnhs,Two_Story,Average,1993,Gable,Typical,Typical,Y,SBrkr,2.5,630,690,1320,3,1,0,2,484,0,48,0,Minimum_Privacy,2006,Normal,137000
7082,TwoFmCon,Two_Story,Very_Good,1916,Gable,Typical,Typical,Y,SBrkr,2,948,980,1928,5,2,0,0,0,0,0,228,No_Fence,2006,Normal,160000
6430,TwoFmCon,One_and_Half_Fin,Above_Average,1945,Gable,Typical,Typical,N,FuseF,2,816,524,1340,3,1,0,1,440,0,0,0,No_Fence,2006,Abnorml,128000
31770,OneFam,One_Story,Average,1960,Hip,Typical,Good,Y,SBrkr,2,1656,0,1656,3,1,2,2,528,210,62,0,No_Fence,2010,Normal,215000
14267,OneFam,One_Story,Above_Average,1958,Hip,Typical,Typical,Y,SBrkr,1.5,1329,0,1329,3,1,0,1,312,393,36,0,No_Fence,2010,Normal,172000
11160,OneFam,One_Story,Average,1968,Hip,Typical,Typical,Y,SBrkr,3.5,2110,0,2110,3,1,2,2,522,0,0,0,No_Fence,2010,Normal,244000
13830,OneFam,Two_Story,Average,1997,Gable,Typical,Typical,Y,SBrkr,2.5,928,701,1629,3,1,1,2,482,212,34,0,Minimum_Privacy,2010,Normal,189900
9978,OneFam,Two_Story,Above_Average,1998,Gable,Typical,Typical,Y,SBrkr,2.5,926,678,1604,3,1,1,2,470,360,36,0,No_Fence,2010,Normal,195500
4920,TwnhsE,One_Story,Average,2001,Gable,Typical,Typical,Y,SBrkr,3,1338,0,1338,2,1,0,2,582,0,0,170,No_Fence,2010,Normal,213500
5005,TwnhsE,One_Story,Average,1992,Gable,Typical,Typical,Y,SBrkr,2,1280,0,1280,2,1,0,2,506,0,82,0,No_Fence,2010,Normal,191500
5389,TwnhsE,One_Story,Average,1995,Gable,Typical,Typical,Y,SBrkr,3,1616,0,1616,2,1,1,2,608,237,152,0,No_Fence,2010,Normal,236500
7500,OneFam,Two_Story,Average,1999,Gable,Typical,Typical,Y,SBrkr,2.5,1028,776,1804,3,1,1,2,442,140,60,0,No_Fence,2010,Normal,189000
10000,OneFam,Two_Story,Average,1993,Gable,Typical,Typical,Y,SBrkr,2.5,763,892,1655,3,1,1,2,440,157,84,0,No_Fence,2010,Normal,175900
7980,OneFam,One_Story,Good,1992,Gable,Good,Typical,Y,SBrkr,3,1187,0,1187,3,1,0,2,420,483,21,0,Good_Privacy,2010,Normal,185000
8402,OneFam,Two_Story,Average,1998,Gable,Typical,Typical,Y,SBrkr,2.5,789,676,1465,3,1,1,2,393,0,75,0,No_Fence,2010,Normal,180400
10176,OneFam,One_Story,Average,1990,Gable,Typical,Typical,Y,SBrkr,2.5,1341,0,1341,2,1,1,2,506,192,0,0,No_Fence,2010,Normal,171500
6820,TwnhsE,One_Story,Average,1985,Gable,Typical,Typical,Y,SBrkr,2.5,1502,0,1502,1,1,0,2,528,0,54,0,No_Fence,2010,Normal,212000
53504,OneFam,Two_Story,Average,2003,Hip,Typical,Typical,Y,SBrkr,4.5,1690,1589,3279,4,1,1,3,841,503,36,0,No_Fence,2010,Normal,538000
12134,OneFam,One_and_Half_Fin,Good,1988,Gable,Typical,Typical,Y,SBrkr,2,1080,672,1752,4,1,0,2,492,325,12,0,No_Fence,2010,Normal,164000
11394,OneFam,One_Story,Poor,2010,Hip,Typical,Typical,Y,SBrkr,2.5,1856,0,1856,1,1,1,3,834,113,0,0,No_Fence,2010,Partial,394432
19138,OneFam,One_Story,Average,1951,Gable,Typical,Typical,Y,SBrkr,1,864,0,864,2,1,0,2,400,0,0,0,No_Fence,2010,Normal,141000
13175,OneFam,One_Story,Above_Average,1978,Gable,Typical,Typical,Y,SBrkr,3,2073,0,2073,3,1,2,2,500,349,0,0,Minimum_Privacy,2010,Normal,210000
11751,OneFam,One_Story,Above_Average,1977,Hip,Typical,Typical,Y,SBrkr,2,1844,0,1844,3,1,1,2,546,0,122,0,Minimum_Privacy,2010,Normal,190000
10625,OneFam,SFoyer,Above_Average,1974,Gable,Typical,Typical,Y,SBrkr,3,1173,0,1173,3,1,2,2,528,0,120,0,Minimum_Privacy,2010,Family,170000
11241,OneFam,One_Story,Good,1970,Gable,Typical,Typical,Y,SBrkr,2,1004,0,1004,2,1,1,2,480,0,0,0,No_Fence,2010,Normal,149000
12537,OneFam,One_Story,Above_Average,1971,Gable,Typical,Typical,Y,SBrkr,2.5,1078,0,1078,3,1,1,2,500,0,0,0,No_Fence,2010,Normal,149900
8450,OneFam,One_Story,Above_Average,1968,Gable,Typical,Typical,Y,SBrkr,2,1056,0,1056,3,1,1,1,304,0,85,184,No_Fence,2010,Normal,142000
8400,OneFam,One_Story,Average,1970,Gable,Typical,Typical,Y,SBrkr,2,882,0,882,2,1,0,2,525,240,0,0,Minimum_Privacy,2010,Normal,126000
10500,OneFam,One_Story,Average,1971,Gable,Typical,Typical,Y,SBrkr,1,864,0,864,3,1,1,0,0,0,0,0,No_Fence,2010,Normal,115000
4043,TwnhsE,One_Story,Average,1977,Gable,Typical,Typical,Y,SBrkr,2,1069,0,1069,2,1,1,2,440,0,55,0,No_Fence,2010,Normal,127500
2280,Twnhs,Two_Story,Above_Average,1975,Gable,Typical,Typical,Y,SBrkr,2.5,855,601,1456,3,1,1,2,440,173,0,0,No_Fence,2010,Normal,149900
2280,Twnhs,One_Story,Above_Average,1975,Gable,Typical,Typical,Y,SBrkr,1,836,0,836,2,1,0,1,308,0,30,0,No_Fence,2010,Normal,120000
2280,Twnhs,Two_Story,Average,1978,Gable,Typical,Typical,Y,SBrkr,2.5,855,601,1456,3,1,1,2,440,26,0,0,No_Fence,2010,Normal,146000
12858,OneFam,Two_Story,Average,2009,Gable,Typical,Typical,Y,SBrkr,2.5,1627,707,2334,3,1,1,3,751,144,133,0,No_Fence,2010,Partial,376162
11478,OneFam,One_Story,Average,2007,Gable,Typical,Typical,Y,SBrkr,3,1704,0,1704,3,1,1,3,772,0,50,0,No_Fence,2010,Normal,306000
10159,OneFam,One_Story,Average,2009,Hip,Typical,Typical,Y,SBrkr,3.5,1940,0,1940,3,1,1,3,606,168,95,0,No_Fence,2010,Partial,395192
12883,OneFam,One_Story,Average,2009,Gable,Typical,Typical,Y,SBrkr,2,1544,0,1544,3,1,0,3,868,0,35,0,No_Fence,2010,Partial,290941
12182,OneFam,One_Story,Average,2005,Gable,Typical,Typical,Y,SBrkr,2,1541,0,1541,3,1,1,2,532,0,70,0,No_Fence,2010,Partial,220000
11520,OneFam,One_Story,Average,2005,Hip,Typical,Typical,Y,SBrkr,2,1698,0,1698,3,1,1,3,730,192,74,0,No_Fence,2010,Normal,275000
14122,OneFam,One_Story,Average,2005,Hip,Typical,Typical,Y,SBrkr,2,1822,0,1822,3,1,1,3,678,0,119,0,No_Fence,2010,Normal,259000
10171,OneFam,One_Story,Average,2004,Gable,Typical,Typical,Y,SBrkr,2,1535,0,1535,3,1,0,2,532,0,0,0,No_Fence,2010,Normal,214000
12919,OneFam,One_Story,Average,2009,Hip,Typical,Typical,Y,SBrkr,3.5,2364,0,2364,2,1,2,3,820,0,67,0,No_Fence,2010,Partial,611657
6371,TwnhsE,One_Story,Average,2009,Gable,Typical,Typical,Y,SBrkr,3,1358,0,1358,2,1,1,2,484,192,35,0,No_Fence,2010,Partial,224000
14300,OneFam,One_Story,Average,2003,Hip,Typical,Typical,Y,SBrkr,3.5,2696,0,2696,3,1,2,3,958,220,150,0,No_Fence,2010,Normal,500000
13650,OneFam,Two_Story,Average,2002,Gable,Typical,Typical,Y,SBrkr,3.5,1687,563,2250,3,1,1,3,756,238,130,0,No_Fence,2010,Normal,320000
7658,TwnhsE,One_Story,Average,2005,Hip,Typical,Typical,Y,SBrkr,3,1752,0,1752,2,1,1,2,576,196,82,0,No_Fence,2010,Normal,319900
7132,TwnhsE,One_Story,Average,2006,Gable,Typical,Typical,Y,SBrkr,2,1370,0,1370,2,1,1,2,484,120,49,0,No_Fence,2010,Normal,205000
2628,Twnhs,Two_Story,Average,2003,Gable,Typical,Typical,Y,SBrkr,2.5,764,862,1626,2,1,0,2,474,0,27,0,No_Fence,2010,Normal,175500
18494,OneFam,One_Story,Average,2005,Gable,Typical,Typical,Y,SBrkr,2,1324,0,1324,3,1,0,2,430,36,23,0,No_Fence,2010,Normal,199500
3203,TwnhsE,One_Story,Average,2006,Gable,Typical,Typical,Y,SBrkr,2,1145,0,1145,2,1,0,2,437,100,116,0,No_Fence,2010,Normal,160000
3182,TwnhsE,One_Story,Average,2004,Gable,Typical,Typical,Y,SBrkr,2,1269,0,1269,2,1,1,2,430,146,20,0,No_Fence,2010,Normal,192000
13300,OneFam,SLvl,Average,2004,Gable,Typical,Typical,Y,SBrkr,3.5,744,630,1374,3,1,1,2,400,100,0,0,No_Fence,2010,Normal,184500
7851,OneFam,Two_Story,Average,2002,Gable,Typical,Typical,Y,SBrkr,3.5,860,1100,1960,4,1,2,2,440,288,48,0,No_Fence,2010,Normal,216500
8577,OneFam,Two_Story,Average,2004,Gable,Typical,Typical,Y,SBrkr,2.5,847,886,1733,3,1,1,2,433,144,48,0,No_Fence,2010,Normal,185088
7750,OneFam,SLvl,Average,2000,Gable,Typical,Typical,Y,SBrkr,2.5,774,656,1430,3,1,1,2,400,180,0,0,No_Fence,2010,Normal,180000
9505,OneFam,Two_Story,Average,2001,Gable,Typical,Typical,Y,SBrkr,2.5,884,1151,2035,3,1,1,2,434,144,48,0,No_Fence,2010,Normal,222500
14774,OneFam,Two_Story,Average,1999,Gable,Typical,Typical,Y,SBrkr,2.5,1422,1177,2599,4,1,1,3,779,668,30,0,No_Fence,2010,Normal,333168
17433,OneFam,Two_Story,Average,1998,Hip,Typical,Typical,Y,SBrkr,2.5,1645,830,2475,4,1,1,3,962,23,172,0,No_Fence,2010,Normal,355000
10593,OneFam,One_Story,Average,1996,Hip,Typical,Typical,Y,SBrkr,3,1720,0,1720,3,1,1,2,527,240,56,154,No_Fence,2010,Normal,260400
12256,OneFam,Two_Story,Average,1994,Gable,Typical,Typical,Y,SBrkr,3.5,1500,1122,2622,3,1,2,2,712,186,32,0,No_Fence,2010,Normal,325000
11764,OneFam,Two_Story,Good,1999,Gable,Typical,Typical,Y,SBrkr,2.5,1164,1106,2270,4,1,1,3,671,132,57,0,No_Fence,2010,Normal,290000
16770,OneFam,Two_Story,Average,1998,Gable,Typical,Typical,Y,SBrkr,2.5,1195,644,1839,4,1,0,2,486,0,81,0,No_Fence,2010,Normal,221000
14720,OneFam,One_and_Half_Fin,Average,1995,Hip,Typical,Typical,Y,SBrkr,3.5,2053,1185,3238,4,1,1,3,666,283,86,0,No_Fence,2010,Normal,410000
8987,OneFam,One_Story,Average,2005,Gable,Typical,Typical,Y,SBrkr,2,1595,0,1595,2,1,1,3,880,144,0,0,No_Fence,2010,Normal,221500
10142,OneFam,Two_Story,Average,2004,Gable,Typical,Typical,Y,SBrkr,3.5,956,1128,2084,4,1,0,2,618,0,45,0,No_Fence,2010,Normal,233000
11920,OneFam,Two_Story,Average,2004,Gable,Typical,Typical,Y,SBrkr,2.5,831,828,1659,3,1,0,2,484,144,68,0,No_Fence,2010,Normal,181000
8880,OneFam,Two_Story,Average,1994,Gable,Typical,Typical,Y,SBrkr,3.5,1222,888,2110,3,1,2,2,463,0,130,0,No_Fence,2010,Normal,205000
8012,TwnhsE,One_Story,Average,1980,Gable,Typical,Typical,Y,SBrkr,2,923,0,923,2,1,1,1,264,80,0,0,No_Fence,2010,Normal,143000
11218,OneFam,Two_Story,Average,1992,Gable,Typical,Typical,Y,SBrkr,2.5,1055,790,1845,3,1,1,2,462,635,104,0,Good_Privacy,2010,Normal,189000
7892,TwnhsE,One_Story,Average,1979,Gable,Typical,Typical,Y,SBrkr,2,918,0,918,2,1,1,1,264,28,0,0,No_Fence,2010,Normal,99500
7175,TwnhsE,One_Story,Average,1984,Gable,Typical,Typical,Y,SBrkr,2,752,0,752,2,1,0,1,264,353,0,0,Minimum_Privacy,2010,Normal,125000
9453,OneFam,Two_Story,Good,1993,Gable,Typical,Typical,Y,SBrkr,2.5,1014,730,1744,3,1,0,2,457,370,70,0,No_Fence,2010,Normal,194500
9672,OneFam,One_Story,Average,1984,Hip,Typical,Typical,Y,SBrkr,2,1097,0,1097,3,1,0,2,480,0,0,0,Good_Privacy,2010,Normal,152000
8400,OneFam,Two_Story,Above_Average,1980,Gable,Typical,Typical,Y,SBrkr,2.5,888,676,1564,3,1,1,2,476,0,50,0,Minimum_Privacy,2010,Normal,171000
11782,OneFam,SFoyer,Good,1961,Gable,Typical,Typical,Y,SBrkr,2,1155,0,1155,3,1,0,2,576,192,0,0,Minimum_Privacy,2010,Normal,148000
8450,OneFam,One_Story,Very_Good,1965,Gable,Good,Typical,Y,SBrkr,2,894,0,894,3,1,1,1,336,416,144,0,Minimum_Privacy,2010,Normal,138500
9819,OneFam,One_Story,Average,1967,Gable,Good,Typical,Y,SBrkr,1,900,0,900,3,1,0,1,280,0,0,0,Minimum_Privacy,2010,Normal,122000
7500,OneFam,One_Story,Average,1963,Gable,Typical,Typical,Y,SBrkr,2.5,1040,0,1040,3,1,0,1,308,0,0,220,Minimum_Privacy,2010,Normal,133000
6897,OneFam,One_Story,Very_Good,1962,Gable,Good,Typical,Y,SBrkr,2.5,1040,0,1040,3,1,0,1,260,0,104,0,No_Fence,2010,Normal,127000
15410,OneFam,One_Story,Above_Average,1974,Hip,Good,Typical,Y,SBrkr,3,1494,0,1494,3,1,2,2,461,296,0,186,Good_Privacy,2010,Abnorml,169000
10186,OneFam,Two_Story,Average,1992,Gable,Typical,Typical,Y,SBrkr,3.5,1061,862,1923,3,1,1,2,564,240,39,0,No_Fence,2010,Normal,190000
13143,OneFam,Two_Story,Average,1993,Gable,Typical,Typical,Y,SBrkr,3.5,1251,1098,2349,4,1,1,3,762,32,130,0,No_Fence,2010,Normal,362500
11134,OneFam,Two_Story,Average,1992,Gable,Typical,Typical,Y,SBrkr,3.5,1402,823,2225,4,1,1,3,713,198,30,0,No_Fence,2010,Normal,285000
4420,TwnhsE,One_Story,Average,1980,Gable,Typical,Typical,Y,SBrkr,2,788,0,788,1,1,1,2,484,133,42,0,No_Fence,2010,Normal,155000
3880,Twnhs,One_Story,Above_Average,1978,Gable,Typical,Typical,Y,SBrkr,2,1226,0,1226,1,1,1,2,484,223,78,0,No_Fence,2010,Normal,206000
13517,OneFam,Two_Story,Very_Good,1976,Gable,Typical,Typical,Y,SBrkr,2.5,725,754,1479,3,1,0,2,475,0,44,0,No_Fence,2010,Normal,130500
10456,OneFam,One_Story,Above_Average,1967,Hip,Typical,Typical,Y,SBrkr,3,1829,0,1829,4,1,0,2,535,0,76,0,No_Fence,2010,Normal,218500
10791,OneFam,Two_Story,Average,1993,Gable,Typical,Typical,Y,SBrkr,3.5,1280,1215,2495,4,1,1,2,660,224,32,0,No_Fence,2010,Normal,243500
10603,OneFam,One_Story,Good,1977,Gable,Typical,Typical,Y,SBrkr,3,1610,0,1610,3,1,2,2,480,168,68,0,No_Fence,2010,Normal,205000
18837,OneFam,One_and_Half_Fin,Average,1978,Gable,Typical,Typical,Y,SBrkr,3.5,1287,604,1891,3,1,1,2,678,0,69,0,No_Fence,2010,Normal,212500
10421,OneFam,Two_Story,Average,1988,Gable,Typical,Typical,Y,SBrkr,2.5,980,734,1714,3,1,1,2,496,228,66,156,Minimum_Privacy,2010,Normal,196500
9360,OneFam,One_Story,Good,1972,Hip,Typical,Typical,Y,SBrkr,2.5,1381,0,1381,3,1,1,2,676,0,0,0,No_Fence,2010,Normal,197500
9600,OneFam,Two_Story,Above_Average,1971,Gable,Typical,Typical,Y,SBrkr,2,930,715,1645,4,1,0,2,441,0,78,0,Good_Wood,2010,Normal,171000
9600,OneFam,One_Story,Average,1966,Hip,Typical,Typical,Y,SBrkr,2.5,1232,0,1232,3,1,0,2,490,0,224,0,No_Fence,2010,Normal,142250
9790,OneFam,One_Story,Average,1963,Hip,Typical,Typical,Y,SBrkr,2.5,1328,0,1328,3,1,2,2,528,0,26,0,No_Fence,2010,Normal,143000
9320,OneFam,One_Story,Average,1959,Gable,Typical,Typical,Y,SBrkr,2.5,1225,0,1225,3,1,0,0,0,352,0,0,No_Fence,2010,Normal,128950
9900,OneFam,One_Story,Average,1966,Hip,Typical,Typical,Y,SBrkr,2,1209,0,1209,3,1,0,2,504,0,0,120,No_Fence,2010,Normal,159000
9680,OneFam,One_Story,Above_Average,1967,Gable,Typical,Typical,Y,SBrkr,3,1510,0,1510,3,1,0,2,517,0,40,0,Good_Privacy,2010,Normal,178900
10600,OneFam,SLvl,Average,1964,Gable,Typical,Typical,Y,SBrkr,2,1131,644,1775,3,1,0,2,480,0,172,0,No_Fence,2010,Family,136300
14112,OneFam,SLvl,Good,1964,Hip,Typical,Typical,Y,SBrkr,2,1152,0,1152,3,1,1,2,484,227,0,0,No_Fence,2010,Normal,180500
8800,OneFam,SFoyer,Good,1963,Gable,Good,Typical,Y,SBrkr,2,1054,0,1054,3,1,0,2,480,120,0,0,Minimum_Privacy,2010,Abnorml,137500
13260,Duplex,One_Story,Above_Average,1962,Hip,Typical,Typical,Y,SBrkr,4,1728,0,1728,6,2,0,0,0,0,0,0,No_Fence,2010,Abnorml,84900
9717,OneFam,One_Story,Above_Average,1950,Hip,Typical,Typical,Y,FuseA,2,1078,0,1078,2,1,0,1,240,366,0,112,No_Fence,2010,Normal,142125
9724,OneFam,One_and_Half_Fin,Good,1952,Gable,Typical,Typical,Y,SBrkr,2,1929,532,2461,3,1,2,2,400,0,0,0,Good_Wood,2010,Normal,197600
17360,OneFam,One_and_Half_Fin,Above_Average,1949,Gable,Good,Typical,Y,SBrkr,2,1019,537,1556,3,1,1,2,470,0,0,150,No_Fence,2010,Normal,172500
7207,OneFam,One_Story,Good,1958,Gable,Good,Typical,Y,SBrkr,2,858,0,858,2,1,0,0,0,117,0,0,No_Fence,2010,Normal,116500
5350,OneFam,One_Story,Poor,1940,Gable,Poor,Typical,Y,SBrkr,1,1306,0,1306,3,1,0,0,0,263,0,0,Good_Wood,2010,Normal,76500
9920,OneFam,One_Story,Average,1954,Gable,Typical,Typical,Y,SBrkr,2,1063,0,1063,3,1,0,1,280,0,0,164,Minimum_Privacy,2010,Normal,128000
9600,OneFam,SLvl,Above_Average,1955,Gable,Typical,Typical,Y,SBrkr,2,1520,0,1520,3,1,2,1,364,0,0,189,No_Fence,2010,Normal,153000
7800,OneFam,One_Story,Above_Average,1954,Gable,Typical,Typical,Y,SBrkr,1,1268,0,1268,2,1,1,1,244,0,98,0,No_Fence,2010,Normal,132000
11380,OneFam,SFoyer,Very_Good,1966,Gable,Typical,Typical,Y,SBrkr,2,1128,0,1128,2,1,1,1,315,238,0,0,No_Fence,2010,Normal,178000
11600,Duplex,Two_Story,Average,1960,Gable,Typical,Typical,Y,FuseA,2,1105,1169,2274,5,2,0,2,480,0,0,0,No_Fence,2010,Normal,154300
19900,OneFam,One_Story,Average,1970,Gable,Typical,Typical,Y,SBrkr,3,2207,0,2207,3,1,1,2,576,301,0,0,No_Fence,2010,Normal,180000
16492,OneFam,One_Story,Above_Average,1966,Gable,Typical,Typical,Y,SBrkr,2.5,1888,0,1888,2,1,1,2,578,0,0,0,No_Fence,2010,Normal,190000
8267,Duplex,One_Story,Average,1958,Gable,Typical,Typical,Y,SBrkr,2,1604,0,1604,4,2,0,2,576,42,0,0,No_Fence,2010,Normal,135000
8197,OneFam,One_Story,Average,2003,Gable,Typical,Typical,Y,SBrkr,3,1480,0,1480,3,1,0,2,620,252,73,0,Minimum_Privacy,2010,Normal,214000
8050,OneFam,One_Story,Average,1959,Hip,Typical,Typical,Y,SBrkr,2,1143,0,1143,3,1,0,1,308,0,0,0,Good_Privacy,2010,Normal,136000
10552,OneFam,One_Story,Average,1959,Hip,Typical,Typical,Y,SBrkr,2,1700,0,1700,4,1,1,2,447,0,38,0,No_Fence,2010,Normal,165500
8400,OneFam,One_Story,Above_Average,1957,Gable,Good,Typical,Y,SBrkr,2,1314,0,1314,3,1,0,1,294,250,0,0,No_Fence,2010,Normal,145000
8760,OneFam,One_Story,Above_Average,1959,Hip,Typical,Typical,Y,SBrkr,2,1194,0,1194,3,1,0,1,312,0,0,120,No_Fence,2010,Normal,148000
12160,OneFam,One_Story,Average,1959,Hip,Typical,Typical,Y,SBrkr,2,1188,0,1188,3,1,0,2,531,0,0,0,Minimum_Privacy,2010,Abnorml,142000
9300,OneFam,One_Story,Average,1960,Gable,Typical,Typical,Y,SBrkr,2,1264,0,1264,3,1,2,2,461,0,0,0,No_Fence,2010,Normal,167500
10725,OneFam,One_Story,Average,1959,Hip,Typical,Typical,Y,SBrkr,1,1206,0,1206,3,1,0,1,312,0,21,0,No_Fence,2010,Normal,108538
10032,OneFam,One_Story,Average,1959,Gable,Typical,Typical,Y,SBrkr,2.5,1580,0,1580,3,1,2,2,440,0,28,0,Good_Wood,2010,Normal,159500
8382,OneFam,One_and_Half_Fin,Average,1956,Gable,Typical,Typical,Y,FuseA,1,832,505,1337,3,1,0,1,263,0,0,0,No_Fence,2010,Normal,108000
10950,OneFam,One_Story,Good,1952,Gable,Typical,Typical,Y,SBrkr,1.5,1064,0,1064,2,1,0,1,318,0,0,0,No_Fence,2010,Normal,135000
10895,OneFam,One_Story,Above_Average,1955,Gable,Good,Typical,Y,SBrkr,1,972,0,972,3,1,0,1,305,0,0,205,Good_Wood,2010,Normal,122500
13587,TwoFmCon,One_Story,Average,1958,Gable,Typical,Typical,Y,SBrkr,2,988,0,988,2,1,0,1,264,0,0,0,No_Fence,2010,Abnorml,119000
7922,OneFam,One_Story,Good,1953,Gable,Good,Typical,Y,SBrkr,2,1057,0,1057,3,1,0,1,246,0,52,0,No_Fence,2010,Abnorml,109000
7898,OneFam,One_Story,Good,1920,Gable,Typical,Typical,Y,SBrkr,1.5,985,0,985,2,1,0,2,676,0,0,0,No_Fence,2010,Normal,105000
7200,OneFam,One_Story,Good,1955,Gable,Typical,No_Basement,Y,SBrkr,1,827,0,827,2,1,1,1,392,0,0,0,No_Fence,2010,Normal,107500
10200,OneFam,One_Story,Good,1954,Gable,Typical,Typical,Y,SBrkr,2,1086,0,1086,3,1,0,2,490,0,0,0,Good_Wood,2010,Normal,144900
5868,OneFam,One_Story,Good,1956,Gable,Typical,Typical,Y,SBrkr,2,936,0,936,2,1,0,1,308,0,0,80,No_Fence,2010,Normal,129000
17503,OneFam,One_and_Half_Fin,Average,1948,Gable,Typical,Typical,Y,SBrkr,1.5,912,546,1458,3,1,1,1,330,192,0,0,No_Fence,2010,Abnorml,97500
6979,Duplex,SFoyer,Average,1980,Gable,Typical,Typical,Y,SBrkr,2,1056,0,1056,0,2,0,2,576,264,56,0,Good_Privacy,2010,Normal,144000
