Sex,Hours_Studied,Previous_Scores,Extracurricular_Activities,Sleep_Hours,Academic_Year,Performance_Index
Female,1,81,Yes,7,1,56
Male,8,84,No,5,5,75
Male,7,89,No,4,4,78
Female,2,55,Yes,6,4,32
Female,8,93,No,7,4,89
Male,1,56,Yes,4,2,29
Female,9,61,Yes,4,2,57
Male,9,52,No,5,5,48
Female,2,51,No,4,1,27
Female,7,49,Yes,7,1,38
Male,3,40,Yes,9,4,18
Male,7,71,No,7,1,66
Female,9,69,No,4,5,65
Female,4,47,Yes,5,3,27
Male,1,60,Yes,7,3,33
Male,2,61,Yes,6,3,37
Male,1,57,No,9,4,29
Male,5,41,No,8,3,26
Male,5,87,No,5,3,72
Male,7,83,Yes,5,5,77
Male,9,48,Yes,8,3,45
Male,9,42,No,8,5,41
Male,3,93,Yes,7,1,73
Female,3,65,Yes,4,3,43
Female,3,60,Yes,4,2,39
Female,4,69,Yes,6,5,54
Female,8,67,Yes,9,4,62
Male,6,75,No,4,4,63
Female,8,65,No,6,2,59
Male,1,73,No,6,3,46
Male,8,47,No,5,3,42
Female,4,49,No,5,1,30
Female,1,87,Yes,9,2,63
Female,8,94,Yes,7,1,89
Female,4,82,Yes,8,4,62
Male,6,89,No,8,4,77
Female,8,93,Yes,9,3,88
Female,4,53,Yes,6,3,35
Male,3,79,Yes,9,4,60
Female,9,94,No,8,1,92
Female,3,54,Yes,6,4,38
Male,9,56,Yes,8,2,56
Male,2,92,No,7,4,70
Male,2,57,No,5,3,35
Male,2,71,Yes,5,2,47
Male,6,77,No,6,1,66
Female,3,62,Yes,9,3,43
Female,9,85,No,8,5,81
Male,4,62,Yes,4,5,43
Female,1,74,Yes,7,1,46
Male,4,78,No,8,5,61
Female,1,54,No,4,3,27
Male,5,92,No,7,3,77
Female,4,63,No,7,5,43
Female,8,67,NA,5,3,60
Female,8,55,No,6,1,48
Female,7,55,Yes,8,5,47
Male,3,79,Yes,7,2,60
Female,1,78,Yes,8,4,53
Female,1,45,No,7,2,19
Female,3,41,Yes,9,3,23
Female,6,93,Yes,5,1,81
Male,7,52,No,6,3,41
Female,6,83,Yes,4,5,71
Female,6,86,Yes,4,5,75
Male,6,98,Yes,9,4,89
Female,3,48,No,5,5,28
Male,6,73,Yes,7,5,60
Male,8,56,Yes,5,1,54
Male,2,66,Yes,6,2,41
Female,5,68,No,4,5,52
Female,1,76,No,8,5,53
Male,1,82,No,4,4,52
Female,5,61,Yes,6,5,47
Male,3,90,Yes,7,1,71
Female,4,63,Yes,5,3,42
Female,3,46,Yes,4,5,21
Female,1,73,Yes,4,1,48
Female,1,87,No,8,3,64
Male,5,51,Yes,5,2,38
Female,6,62,Yes,8,3,49
Male,3,54,No,8,4,35
Female,9,72,No,7,4,73
Female,5,96,Yes,4,2,81
Male,8,52,No,9,5,47
Male,1,62,No,5,4,36
Female,5,77,No,7,1,63
Female,3,71,Yes,9,4,52
Female,1,84,No,7,4,58
Male,4,89,Yes,7,1,77
Male,5,74,No,6,2,58
Male,7,40,Yes,6,5,33
Female,1,86,Yes,7,4,67
Male,3,97,Yes,6,5,76
Female,2,84,No,5,5,62
Male,9,44,No,4,3,37
Female,6,96,No,9,1,86
Female,3,52,Yes,5,3,37
Male,8,93,No,4,3,88
Male,8,44,No,6,5,38
Female,2,99,Yes,9,5,76
Male,6,71,No,5,5,57
Female,7,90,Yes,8,3,82
Male,2,60,No,7,2,35
Female,2,63,Yes,4,1,41
Male,1,99,Yes,4,5,75
Female,8,57,No,8,1,51
Female,1,60,Yes,8,3,34
Male,9,93,No,7,2,92
Female,6,49,No,6,4,39
Female,7,63,No,5,5,56
Male,7,79,No,5,3,69
Male,3,86,Yes,5,4,69
Female,2,60,Yes,6,2,40
Male,9,64,Yes,7,3,63
Female,8,91,No,5,3,86
Female,7,99,No,4,1,89
Female,9,96,Yes,4,5,94
Female,4,98,Yes,4,3,79
Male,4,62,No,8,2,44
Male,1,61,No,8,1,33
Female,8,43,No,6,3,36
Female,3,73,Yes,5,1,50
Male,7,95,No,8,1,94
Male,2,45,Yes,4,5,22
Male,2,67,No,8,3,44
Female,7,70,Yes,4,3,60
Female,6,74,No,5,4,64
Male,3,78,Yes,6,5,58
Male,9,81,Yes,7,1,78
Male,6,62,Yes,7,4,51
Male,6,45,No,4,1,30
Female,1,55,Yes,8,2,29
Female,4,41,Yes,8,3,22
Male,6,63,No,4,5,51
Male,6,56,Yes,5,1,45
Male,5,84,Yes,4,1,70
Female,1,40,No,5,1,10
Female,8,45,Yes,6,3,38
Female,5,44,No,6,3,30
Male,5,96,Yes,4,1,82
Female,7,84,No,6,5,74
Male,4,99,Yes,8,5,87
Female,6,94,Yes,5,5,77
Male,4,89,Yes,7,3,72
Female,3,68,No,7,5,51
Male,7,51,Yes,6,4,40
Female,8,78,Yes,5,4,72
Male,4,86,No,8,1,68
Female,2,42,No,7,5,22
Male,3,87,No,8,2,67
Male,1,40,Yes,8,2,18
Female,8,66,Yes,7,4,64
Female,3,87,Yes,7,4,66
Male,7,63,No,6,2,50
Female,5,83,No,5,3,68
Female,5,58,Yes,4,1,44
Female,7,98,Yes,5,5,90
Female,9,47,No,4,2,41
Male,5,94,No,7,2,83
Female,1,83,No,8,5,57
Male,1,86,Yes,5,3,64
Female,2,41,No,8,1,18
Female,6,69,No,5,4,62
Female,9,69,No,9,5,66
Female,8,88,No,5,5,85
Male,5,78,Yes,8,4,62
Female,1,84,No,9,2,62
Female,7,71,Yes,6,3,62
Female,5,40,Yes,7,2,26
Male,6,77,No,6,1,66
Female,7,52,No,6,5,43
Male,3,50,Yes,5,2,30
Female,3,49,No,7,4,25
Female,5,87,Yes,9,3,77
Female,6,98,No,5,5,88
Female,9,65,Yes,4,1,62
Male,5,95,Yes,5,1,82
Female,1,94,Yes,9,4,73
Male,4,59,No,8,4,44
Female,5,56,Yes,5,2,40
Male,5,56,Yes,4,1,39
Female,7,43,No,5,1,34
Female,4,44,No,9,5,27
Male,1,99,Yes,4,3,73
Male,5,62,Yes,7,2,46
Female,7,85,No,9,3,78
Female,6,91,Yes,5,3,80
Female,5,49,No,4,3,33
Female,4,85,No,9,2,68
Male,2,67,No,7,1,45
Female,4,72,Yes,8,4,56
Male,3,82,No,6,4,58
Female,1,65,Yes,4,3,37
Female,8,94,Yes,8,3,88
Female,5,89,No,7,1,75
Female,4,87,No,8,3,70
Female,8,68,No,5,2,62
Male,7,66,No,6,1,57
Female,2,57,Yes,4,5,32
Male,1,79,Yes,9,3,53
Male,4,99,No,7,1,82
Female,8,49,Yes,6,2,41
Female,2,97,No,7,5,75
Male,3,81,Yes,8,4,63
Male,1,44,Yes,7,2,17
Female,1,49,Yes,7,1,24
Male,3,89,No,8,4,69
Male,5,60,Yes,8,5,47
Female,3,63,Yes,6,2,43
Male,1,77,Yes,4,5,48
Male,1,42,Yes,8,4,17
Female,8,79,No,6,3,75
Male,2,70,Yes,7,1,54
Male,3,80,No,7,1,59
Male,2,76,No,9,1,56
Female,3,41,Yes,5,4,20
Male,7,41,Yes,8,2,34
Male,1,78,No,6,2,54
Female,8,88,No,9,4,83
Male,2,81,No,6,2,59
Male,3,83,Yes,4,4,63
Female,9,73,Yes,9,3,72
Male,7,81,No,6,5,70
Male,4,59,No,8,5,41
Female,5,72,No,6,2,54
Male,2,43,Yes,5,3,21
Female,8,84,Yes,7,2,83
Female,4,83,No,7,1,64
Female,9,50,Yes,9,5,51
Male,5,81,No,6,3,66
Female,9,86,Yes,6,4,83
Female,4,44,No,6,5,26
Female,5,64,Yes,6,2,49
Female,9,88,Yes,5,4,85
Female,8,99,Yes,8,3,95
Male,3,76,Yes,5,2,56
Male,1,73,Yes,5,2,50
Male,3,48,Yes,5,5,23
Male,4,45,Yes,7,5,26
Female,2,57,No,5,1,30
Female,1,53,No,6,5,28
Female,7,58,No,5,3,48
Female,8,53,Yes,6,5,46
Female,7,79,Yes,9,2,73
Male,5,56,Yes,8,5,45
Male,1,99,No,7,1,76
Female,7,74,No,8,3,71
Male,7,68,No,9,4,60
Male,9,81,No,8,2,77
Male,3,56,No,7,1,36
Female,9,98,No,6,3,96
Female,1,82,Yes,9,2,62
Male,1,47,No,9,4,22
Female,4,40,Yes,6,2,21
Male,9,84,No,6,5,79
Female,6,92,No,7,1,82
Male,3,75,Yes,5,3,55
Female,1,46,Yes,4,1,22
Male,4,85,Yes,5,4,70
Female,9,44,No,5,5,37
Male,3,63,No,8,4,42
Female,9,67,Yes,4,3,64
Male,7,82,No,6,1,72
Female,4,56,Yes,5,2,42
Male,3,76,No,7,5,56
Female,5,59,No,5,2,43
Female,5,42,No,6,1,24
Female,3,76,Yes,5,2,55
Male,9,65,No,9,5,64
Female,4,54,Yes,8,5,34
Female,5,90,Yes,8,2,78
Male,4,87,Yes,5,1,71
Male,5,47,Yes,8,2,33
Female,7,52,Yes,7,5,46
Female,9,87,Yes,4,4,86
Male,7,42,Yes,5,3,34
Male,5,40,Yes,7,5,26
Female,7,48,Yes,9,1,44
Male,5,70,No,7,2,53
Male,3,80,Yes,7,3,61
Female,7,93,No,9,1,84
Male,2,65,Yes,6,2,40
Male,9,56,No,5,4,53
Female,1,95,No,5,2,67
Female,6,73,No,5,5,58
Male,7,48,No,4,4,41
Male,8,95,No,7,3,89
Male,9,90,No,5,1,85
Male,2,52,Yes,8,3,33
Female,2,44,Yes,6,4,20
Male,5,80,Yes,9,5,66
Female,5,52,Yes,9,5,38
Female,6,40,Yes,4,3,25
Male,3,64,Yes,9,5,43
Male,8,86,No,6,5,79
Male,1,43,Yes,7,5,16
Female,6,75,No,9,1,67
Female,4,91,No,9,2,80
Male,1,49,No,8,4,26
Female,7,67,No,7,4,57
Female,9,96,No,5,2,91
Female,4,45,No,6,5,29
Male,4,66,Yes,9,2,48
Male,6,95,No,8,2,84
Male,3,51,No,6,3,33
Male,6,91,Yes,4,5,82
Male,7,87,Yes,8,5,81
Female,3,42,Yes,4,1,24
Male,7,85,Yes,9,3,81
Female,3,72,Yes,8,4,54
Female,2,49,Yes,5,3,25
Female,4,70,Yes,6,5,53
Female,8,54,No,6,2,48
Male,9,46,Yes,7,2,40
Female,7,75,No,8,2,66
Female,1,53,Yes,8,3,29
Female,3,95,Yes,4,1,73
Female,9,87,No,8,5,89
Female,1,53,Yes,6,3,27
Male,9,42,Yes,8,5,40
Male,8,88,Yes,7,3,83
Male,1,92,Yes,7,1,69
Female,6,85,Yes,6,5,72
Male,5,89,Yes,6,3,77
Male,6,42,Yes,6,4,32
Female,5,61,No,8,3,49
Male,6,58,Yes,8,3,44
Male,5,74,No,5,1,57
Female,5,51,No,9,2,34
Male,4,93,No,9,5,76
Female,3,44,No,4,5,22
Male,3,49,No,8,2,30
Female,4,80,No,5,3,67
Female,9,72,No,5,3,71
Female,2,52,Yes,7,1,29
Male,9,74,Yes,8,1,74
Male,1,90,Yes,5,5,67
Female,1,71,No,7,3,46
Female,5,50,Yes,4,4,34
Female,6,87,No,7,3,76
Male,6,77,No,4,1,64
Male,3,63,Yes,9,2,46
Male,7,74,No,9,4,68
Female,9,58,No,6,2,58
Male,8,45,Yes,6,5,41
Male,6,79,No,7,4,64
Male,8,93,Yes,6,4,84
Female,5,84,No,8,3,70
Female,8,83,No,7,3,77
Male,4,81,Yes,5,3,60
Male,8,74,Yes,8,5,65
Male,2,43,Yes,7,5,21
Female,5,72,No,9,5,60
Male,9,52,No,4,4,48
Male,4,95,Yes,6,2,77
Male,6,75,Yes,6,5,63
Male,1,93,Yes,6,5,68
Male,9,82,No,7,3,81
Male,1,58,No,8,2,29
Female,5,82,Yes,4,5,66
Female,4,51,Yes,6,1,36
Female,3,50,Yes,8,4,29
Female,6,45,No,5,5,32
Female,2,51,Yes,9,5,31
Female,3,66,Yes,5,1,45
Female,5,80,Yes,4,1,65
Female,9,64,No,6,5,57
Female,2,81,No,5,2,58
Female,8,42,Yes,9,5,38
Female,2,42,No,8,2,22
Female,5,59,Yes,8,3,48
Female,7,67,Yes,5,4,59
Male,8,62,Yes,6,4,58
Male,1,87,Yes,9,3,62
Female,6,42,No,4,4,30
Female,1,81,Yes,6,4,56
Female,2,63,Yes,7,3,40
Male,1,82,No,5,2,59
Female,5,79,Yes,7,4,65
Female,9,45,No,5,4,43
Female,6,59,Yes,4,2,48
Male,1,50,Yes,6,2,24
Male,1,71,Yes,9,3,51
Female,2,99,Yes,6,4,81
Female,9,66,No,5,3,62
Female,3,60,Yes,8,1,43
Male,1,83,No,7,5,63
Male,5,87,No,9,1,73
Male,7,89,No,9,4,76
Female,6,52,Yes,6,4,43
Female,1,61,No,6,2,34
Male,5,74,No,5,4,57
Female,5,86,No,8,3,72
Female,6,61,Yes,7,1,47
Male,3,67,Yes,8,1,52
Female,5,60,No,9,1,49
Female,7,85,No,8,1,77
Male,5,57,Yes,5,2,41
Male,5,70,No,8,1,56
Female,5,99,No,7,4,89
Male,3,85,No,9,4,65
Female,1,76,Yes,4,5,49
Male,5,60,No,9,5,48
Female,9,53,No,4,1,47
Female,1,64,Yes,7,3,37
Male,3,66,No,9,4,48
Male,4,79,Yes,9,4,61
Female,1,99,Yes,9,1,77
Female,1,99,Yes,9,4,75
Female,8,62,No,5,3,57
Female,2,70,No,6,1,45
Female,8,86,No,9,3,82
Male,7,99,No,5,5,90
Male,2,68,No,7,1,42
Female,6,86,No,9,1,74
Female,6,69,No,8,4,60
Female,3,90,No,9,1,73
Female,2,65,Yes,9,4,40
Female,1,59,No,4,3,32
Female,6,77,No,8,5,67
Male,5,58,Yes,9,5,46
Female,9,66,No,9,4,65
Female,1,64,Yes,9,4,42
Male,7,79,No,5,5,69
Female,5,77,No,7,3,62
Female,5,91,Yes,4,2,75
Female,2,62,Yes,9,3,40
Male,3,68,No,7,1,43
Male,7,54,Yes,4,5,42
Female,6,98,No,4,5,84
Male,2,42,No,4,5,15
Female,6,49,No,9,1,39
Male,2,54,No,5,2,26
Female,2,95,No,9,5,73
Female,2,55,No,9,5,34
Female,3,56,Yes,7,2,34
Female,2,58,Yes,6,3,37
Male,4,50,Yes,6,3,34
Female,9,87,No,6,5,85
Male,6,44,Yes,7,2,31
Female,1,44,No,8,1,18
Male,8,97,Yes,7,4,92
Male,7,53,No,4,5,44
Female,3,89,No,9,2,72
Female,1,65,No,8,4,40
Male,5,47,No,4,3,31
Female,4,44,No,9,1,25
Female,8,46,Yes,9,1,44
Male,1,55,No,4,2,27
Female,1,94,Yes,7,1,66
Male,4,53,No,6,3,34
Male,8,76,No,8,4,70
Male,5,95,No,9,5,81
Female,2,80,Yes,5,4,56
Male,6,43,No,9,5,30
Male,5,75,Yes,6,1,60
Female,2,87,No,9,5,64
Male,3,95,Yes,5,5,74
Male,9,56,Yes,7,3,52
Male,7,86,Yes,9,3,84
Female,7,75,No,8,1,66
Female,6,45,No,7,5,32
Male,8,55,Yes,5,1,47
Male,4,68,No,4,1,51
Male,8,75,No,9,3,67
Female,4,77,No,7,4,57
Female,8,76,Yes,9,4,71
Male,9,87,Yes,8,1,86
Female,3,96,No,9,4,77
Female,3,87,Yes,7,5,72
Female,2,49,No,6,3,24
Male,3,80,No,7,5,60
Male,3,75,Yes,5,2,55
Male,5,68,Yes,7,1,54
Female,5,53,No,8,1,39
Female,2,43,No,7,2,19
Male,6,83,No,7,2,68
Male,5,95,Yes,8,1,83
Female,6,81,Yes,7,2,72
Female,1,75,No,8,1,49
Female,5,89,No,5,2,74
Female,9,84,Yes,8,1,86
Male,2,52,No,5,5,26
Male,1,85,Yes,5,4,60
Female,9,57,Yes,8,3,54
Female,9,72,No,7,1,73
Male,9,60,No,9,5,61
Male,6,55,Yes,6,1,45
Male,8,54,No,9,2,57
Male,1,93,Yes,8,5,68
Female,4,96,Yes,7,2,72
Female,1,44,Yes,5,1,17
Female,8,45,No,4,3,37
Female,1,77,No,6,3,54
Male,3,42,No,9,4,22
Male,4,87,Yes,7,4,73
Female,8,51,Yes,6,3,47
Male,6,75,Yes,4,2,63
Female,7,72,Yes,4,5,63
Female,8,75,No,4,1,68
Male,2,72,No,9,5,52
Female,8,70,No,8,1,64
Male,3,60,Yes,6,4,38
Male,7,66,Yes,8,2,60
Male,3,66,No,4,2,45
Male,7,47,Yes,7,5,39
Male,2,95,No,4,3,75
Female,6,76,Yes,8,5,67
Female,3,71,Yes,4,4,48
Male,3,65,Yes,4,5,44
Male,9,41,Yes,8,3,37
Male,7,51,Yes,8,2,41
Male,5,61,No,7,3,47
Female,7,56,No,8,1,45
Male,9,46,No,7,1,43
Female,1,82,Yes,5,3,54
Male,7,43,No,5,1,32
Female,6,76,No,8,3,64
Male,9,77,Yes,4,2,74
Female,1,71,Yes,6,2,50
Male,4,50,No,4,2,33
Female,9,40,No,8,3,36
Male,4,64,No,7,2,45
Male,3,81,No,4,5,58
Female,9,91,No,5,1,85
Male,2,63,Yes,9,4,41
Male,4,92,No,8,2,78
Male,6,82,No,4,3,63
Male,2,95,No,9,1,76
Male,8,56,No,4,4,51
Male,8,47,No,7,2,36
Male,1,98,No,7,4,74
Female,3,84,Yes,7,2,65
Female,9,66,Yes,9,3,65
Male,5,91,Yes,6,2,79
Female,6,57,No,9,5,46
Female,4,66,No,8,5,47
Male,2,61,Yes,8,2,42
Male,8,55,No,5,5,46
Female,6,41,No,5,3,34
Male,5,44,No,8,3,27
Female,9,57,Yes,4,2,52
Male,1,42,Yes,8,5,17
Male,5,66,Yes,6,1,53
Female,6,93,No,5,2,84
Female,5,56,Yes,5,1,39
Female,6,55,Yes,9,5,44
Male,6,45,Yes,5,3,36
Female,7,90,No,8,2,81
Male,4,46,Yes,5,1,30
Male,8,89,Yes,5,1,80
Female,7,53,No,9,4,41
Male,9,77,Yes,8,5,77
Male,7,79,No,4,1,69
Female,3,54,No,5,2,34
Male,3,86,Yes,5,1,64
Male,8,86,Yes,5,4,78
Female,5,87,Yes,6,3,74
Male,4,72,No,8,2,52
Male,8,82,Yes,5,1,76
Female,6,66,Yes,6,2,53
Female,2,68,Yes,4,3,46
Female,4,96,No,4,1,77
Female,4,76,No,9,3,59
Male,6,44,No,9,2,35
Male,6,68,Yes,9,4,61
Female,1,71,Yes,6,1,46
Male,8,99,No,4,4,97
Female,6,92,Yes,9,4,86
Female,3,45,Yes,7,2,24
Male,9,41,No,9,3,37
Male,2,45,No,4,1,18
Female,8,85,No,7,5,84
Male,3,82,Yes,6,4,59
Male,5,43,Yes,7,1,29
Female,6,95,Yes,4,3,84
Female,6,68,No,5,2,60
Female,4,98,No,7,3,78
Male,3,64,Yes,4,3,46
Female,4,48,No,9,2,31
Male,1,95,No,5,4,68
Male,4,42,Yes,6,3,25
Female,1,65,No,6,2,37
Male,1,87,Yes,8,2,62
Male,6,82,No,6,4,69
Female,5,66,Yes,8,4,50
Male,4,75,No,6,3,55
Female,3,71,Yes,6,1,54
Female,1,40,No,6,2,12
Male,6,96,No,8,4,88
Female,2,92,No,9,4,69
Female,8,93,No,8,1,88
Male,5,55,No,7,2,41
Female,7,90,Yes,4,4,83
Male,2,87,Yes,4,1,62
Male,8,50,Yes,9,2,45
Male,2,65,No,4,4,42
Male,4,79,Yes,6,4,65
Female,1,94,No,9,2,73
Female,5,40,No,4,4,23
Male,9,65,Yes,8,2,61
Male,1,67,Yes,7,4,41
Male,9,92,No,5,5,85
Female,8,97,No,7,5,93
Female,6,48,Yes,4,4,35
Female,7,99,Yes,9,2,92
Female,3,98,No,4,5,79
Female,1,83,No,8,4,57
Female,5,61,Yes,7,2,49
Male,2,47,No,8,2,28
Male,5,97,No,8,3,85
Female,8,88,Yes,5,2,82
Male,9,81,Yes,8,2,80
Female,2,66,No,8,2,41
Male,3,78,No,5,1,57
Male,3,58,Yes,6,3,41
Female,1,64,No,6,4,43
Female,8,77,Yes,9,1,73
Female,6,60,No,5,3,46
Female,8,63,Yes,9,1,61
Male,9,63,No,9,3,61
Male,5,99,No,8,1,87
Female,3,99,No,9,2,78
Female,5,58,Yes,4,2,43
Male,5,89,Yes,7,4,75
Female,5,86,Yes,4,5,72
Female,3,41,No,4,4,18
Male,4,53,No,8,3,36
Female,9,92,Yes,7,2,92
Male,9,71,Yes,9,3,71
Female,2,81,No,7,3,58
Male,8,71,No,9,3,69
Female,8,67,No,6,2,58
Female,7,87,No,5,1,74
Male,8,78,Yes,8,4,72
Female,3,79,Yes,9,5,61
Female,6,81,No,9,1,74
Male,1,86,No,7,2,60
Female,7,79,No,8,2,70
Female,1,52,Yes,9,1,27
Male,9,51,Yes,6,4,49
Female,1,47,No,4,1,17
Male,1,54,No,9,4,34
Male,7,65,No,7,1,51
Female,2,51,No,6,1,27
Female,5,82,No,8,5,67
Female,8,90,No,9,5,84
Male,8,85,Yes,6,2,81
Female,3,66,Yes,6,5,45
Male,7,57,Yes,6,3,50
Male,3,84,No,6,1,67
Male,6,75,No,6,1,67
Female,6,88,No,6,2,77
Male,3,90,Yes,5,3,70
Female,7,66,No,8,1,59
Male,3,48,Yes,4,5,27
Male,8,94,No,8,2,88
Male,4,78,No,7,3,60
Male,1,40,No,7,2,14
Male,4,46,Yes,8,3,27
Male,7,65,Yes,6,1,54
Male,4,46,Yes,5,4,32
Female,6,91,No,4,2,79
Male,9,46,Yes,9,2,44
Female,1,47,No,9,5,20
Female,5,55,No,6,4,42
Male,7,42,Yes,8,2,33
Male,1,84,Yes,9,5,58
Female,4,49,No,8,4,31
Male,6,89,No,5,4,75
Male,2,46,No,5,4,22
Male,5,60,No,8,4,46
